City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
303,Kalmunai,LK,77.7,moderate rain,7.4167,81.8167,VS Villa
304,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
307,Anloga,GH,79.02,clear sky,5.7947,0.8973,Pin Drop Hotel
311,Riberalta,BO,70.86,heavy intensity rain,-10.9833,-66.1,Hotel Colonial
313,Tautira,PF,73.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
316,Ternate,ID,84.07,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
319,Castries,LC,80.67,broken clouds,13.9957,-61.0061,Marigot Beach Club & Dive Resort
320,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
321,Freetown,SL,76.71,thunderstorm,8.484,-13.2299,The Country Lodge Hotel
332,Manutuke,NZ,73.98,overcast clouds,-38.6833,177.9167,Jolly Stockman Hotel
335,Kidal,ML,89.73,broken clouds,18.4411,1.4078,
336,Lodja,CD,70.0,light rain,-3.4833,23.4333,
337,Sunrise Manor,US,77.99,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
339,Macuspana,MX,84.96,few clouds,17.7667,-92.6,Hotel Claudia
341,Havelock,US,73.35,clear sky,34.8791,-76.9013,Sherwood Motel
342,Atambua,ID,86.04,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
346,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
347,Conceicao Da Barra,BR,75.42,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
348,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
355,Akyab,MM,76.39,scattered clouds,20.15,92.9,Hotel Memory
356,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,BUTIK Hotel
358,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
359,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
366,Varzelandia,BR,70.95,overcast clouds,-15.7014,-44.0275,Pousada Portal da Cidade
368,Halapitan,PH,83.34,few clouds,7.9175,125.33,Lorna Dagaang Boarding House
369,Impfondo,CG,70.75,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
371,Lakatoro,VU,82.2,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
375,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
376,Lovington,US,75.42,clear sky,32.944,-103.3485,Buena vida rv parks
378,Faanui,PF,75.78,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
382,Cozumel,MX,82.11,light rain,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
383,Benjamin Hill,MX,74.23,clear sky,30.1667,-111.1,Hotel Benjamín Hill
386,Leticia,CO,77.05,clear sky,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
387,Yaan,NG,74.84,broken clouds,7.3833,8.5667,
390,Kutum,SD,73.04,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
392,Cairns,AU,90.95,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
394,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
401,Salalah,OM,74.52,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
402,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
409,Bhimunipatnam,IN,76.51,few clouds,17.8833,83.4333,Bheemili Court
413,Lingao,CN,73.29,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
414,Quatre Cocos,MU,74.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
