City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
497,Waddan,LY,72.32,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
498,Kabo,CF,73.09,overcast clouds,7.6994,18.629,
503,Bambanglipuro,ID,82.51,few clouds,-7.95,110.2833,Puri Brata
507,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
510,Hwange,ZW,75.2,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
512,Galle,LK,78.82,light rain,6.0367,80.217,Amangalla
516,Pijijiapan,MX,77.77,overcast clouds,15.7011,-93.23,Hotel Rosita
518,Auki,SB,84.25,scattered clouds,-8.7676,160.7034,Auki Motel
519,Senanga,ZM,70.45,broken clouds,-16.1167,23.2667,Zango lodge
522,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
527,Daru,PG,83.57,broken clouds,-9.0763,143.2092,Daru Lodge
531,Wanlaweyn,SO,76.75,scattered clouds,2.6185,44.8938,GAASHAAN HOME
538,Harindanga,IN,76.98,clear sky,22.0383,88.3214,Hasanur Builders
540,Lorengau,PG,83.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
544,Abonnema,NG,77.0,light rain,4.7084,6.7931,Corper's Lodge Obonoma
550,Benguela,AO,74.62,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
553,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
557,Lagos,NG,79.12,few clouds,6.5833,3.75,
558,Rabaul,PG,82.54,overcast clouds,-4.1967,152.1721,Rabaul Hotel
560,Kieta,PG,85.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
561,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
563,Gladstone,AU,90.79,overcast clouds,-23.85,151.25,Highpoint International
568,Soyo,AO,76.96,overcast clouds,-6.1349,12.3689,Hotel Mpampa
569,Camopi,GF,73.92,overcast clouds,3.1655,-52.3158,La pousada
570,Aloleng,PH,82.35,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
572,Port Blair,IN,81.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
573,Kasongo-Lunda,CD,70.16,few clouds,-6.4667,16.8167,
574,Pemba,MZ,78.35,light rain,-12.974,40.5178,Guesthouse Samotina
575,Basoko,CD,70.02,overcast clouds,1.2391,23.616,Jackyna Hotel
581,Ixtapa,MX,78.04,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
582,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
584,Sungairaya,ID,82.72,overcast clouds,0.7,108.9,Mess P.Milu
585,Bull Savanna,JM,77.77,broken clouds,17.8868,-77.5902,Big Red's
589,Ojinaga,MX,83.35,clear sky,29.5667,-104.4167,Suites Las Palmas
594,Mumford,GH,77.59,overcast clouds,5.2618,-0.759,Spanish Villa
598,Celestun,MX,80.64,scattered clouds,20.8667,-90.4,Posada Lilia
599,Ratnagiri,IN,73.69,scattered clouds,16.9833,73.3,Hotel Landmark
601,Jalu,LY,71.51,few clouds,29.0331,21.5482,صاحبة الفخامة
602,Maumere,ID,84.45,overcast clouds,-8.6199,122.2111,Sylvia Hotel
603,Puerto Escondido,MX,79.72,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
606,Ugoofaaru,MV,82.31,overcast clouds,5.6667,73.0,Ungoofaaru Inn
612,Monywa,MM,75.65,few clouds,22.1167,95.1333,Monywa Hotel
618,Karratha,AU,88.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
619,Hirara,JP,78.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
620,Jawhar,SO,76.28,scattered clouds,2.7809,45.5005,hantiwadaag village part one
621,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
622,Sembakung,ID,80.53,overcast clouds,3.8167,117.25,
624,Pasir Gudang,MY,84.96,broken clouds,1.4584,103.8805,Swan Garden Hotel
625,Kiama,AU,70.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
631,Chibombo,ZM,78.78,overcast clouds,-14.6569,28.0706,Chibombo District Council Guest House
634,Dogondoutchi,NE,82.99,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
637,Nicoya,CR,74.75,light rain,10.1483,-85.452,Las Cabinas Del Sueño
638,Winneba,GH,81.07,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
640,Payyannur,IN,74.77,overcast clouds,12.1,75.2,Kavvayi Beach House
646,Cross Lanes,US,70.18,few clouds,38.4204,-81.7907,Wyndham Garden Cross Lanes Charleston
647,Wanning,CN,73.06,overcast clouds,18.8003,110.3967,Paradise Hotel
650,Fomboni,KM,80.26,clear sky,-12.28,43.7425,Auberge les abou
651,Ayotzintepec,MX,77.16,overcast clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
653,Oeiras Do Para,BR,77.86,clear sky,-2.0031,-49.8544,Araticu Soft Hotel
655,Atar,MR,83.8,broken clouds,20.5169,-13.0499,Oumou Elghoura
656,Yaguajay,CU,78.44,light rain,22.3272,-79.2378,Hostal La Terraza
657,Ouahigouya,BF,82.94,overcast clouds,13.5828,-2.4216,Hotel Liberte
661,Wajir,KE,78.13,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
667,Agadez,NE,80.22,clear sky,19.75,10.25,
668,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
669,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
670,Mataram,ID,85.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
671,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
673,Luanda,AO,73.4,clear sky,-8.8368,13.2343,Hotel Fórum
678,Pemangkat,ID,80.92,broken clouds,1.1667,108.9667,Ramah Kost KITA
680,Vaitape,PF,75.81,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
681,Lagunas,PE,79.92,light rain,-5.2269,-75.6753,Hospedaje Eco
686,Contai,IN,73.56,clear sky,21.7786,87.7536,PATHFINDER
687,Marawi,PH,73.65,few clouds,7.9986,124.2928,Derogongan Residence
690,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
692,Tabora,TZ,72.25,overcast clouds,-5.0167,32.8,Barcelona Lodge
697,Kloulklubed,PW,83.62,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
698,Soe,ID,83.05,overcast clouds,-9.8607,124.284,Dena Hotel
700,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
702,Hervey Bay,AU,82.51,broken clouds,-25.2986,152.8535,Shelly Bay Resort
704,Gamba,GA,76.32,overcast clouds,-2.65,10.0,
705,Coruripe,BR,77.27,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
708,Salitral,PE,74.26,overcast clouds,-4.8572,-80.6811,Mosoq Inn Puno
710,Igunga,TZ,76.17,broken clouds,-4.2833,33.8833,Victoria Lodge
714,Kudahuvadhoo,MV,82.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
