City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Matara,LK,2021-10-24 04:42:52,5.9485,80.5353,86.38,61,59,13.04
116,Tessalit,ML,2021-10-24 04:42:52,20.1986,1.0114,79.72,25,35,9.82
117,Palmer,US,2021-10-24 04:42:52,42.1584,-72.3287,49.44,84,40,0.0
118,Victoria,HK,2021-10-24 04:40:51,22.2855,114.1577,78.04,64,9,1.01
119,Kropotkin,RU,2021-10-24 04:37:53,45.4375,40.5756,54.5,94,100,1.9
120,Thompson,CA,2021-10-24 04:42:53,55.7435,-97.8558,26.76,93,1,3.44
121,Mar Del Plata,AR,2021-10-24 04:39:11,-38.0023,-57.5575,47.88,80,0,3.0
122,Pangnirtung,CA,2021-10-24 04:42:53,66.1451,-65.7125,22.73,84,99,5.95
123,Broome,US,2021-10-24 04:42:53,42.2506,-75.833,42.55,87,90,0.0
124,Geraldton,AU,2021-10-24 04:42:54,-28.7667,114.6,79.21,44,0,12.66
125,Yellowknife,CA,2021-10-24 04:42:54,62.456,-114.3525,40.41,90,90,14.97
126,Bodri,IN,2021-10-24 04:42:54,23.1667,81.4333,79.02,48,1,3.94
127,Songea,TZ,2021-10-24 04:42:55,-10.6833,35.65,65.55,72,1,0.0
128,Galle,LK,2021-10-24 04:42:55,6.0367,80.217,83.93,68,58,13.27
129,Chernihiv,UA,2021-10-24 04:42:55,51.0,32.0,42.4,76,100,11.52
130,Tasiilaq,GL,2021-10-24 04:42:56,65.6145,-37.6368,32.16,97,100,6.02
131,Khatanga,RU,2021-10-24 04:42:56,71.9667,102.5,5.97,91,94,16.62
132,Atar,MR,2021-10-24 04:42:56,20.5169,-13.0499,76.84,21,17,8.14
133,Aldan,RU,2021-10-24 04:42:57,58.6031,125.3894,34.48,94,100,7.31
134,Narsaq,GL,2021-10-24 04:42:57,60.9167,-46.05,34.02,52,31,3.38
135,Faya,SA,2021-10-24 04:42:57,18.3851,42.4509,55.51,23,6,4.12
136,Noumea,NC,2021-10-24 04:42:58,-22.2763,166.4572,76.98,69,12,15.14
137,Flers,FR,2021-10-24 04:42:58,48.7372,-0.5747,34.05,89,14,4.74
138,Luderitz,NA,2021-10-24 04:42:58,-26.6481,15.1594,58.15,62,0,11.5
139,San Cristobal,VE,2021-10-24 04:33:27,7.7669,-72.225,69.98,98,99,1.9
140,Bethel,US,2021-10-24 04:42:59,41.3712,-73.414,51.82,87,20,0.0
141,Sri Aman,MY,2021-10-24 04:42:59,1.2376,111.4621,87.85,70,40,3.44
142,Hualmay,PE,2021-10-24 04:43:00,-11.0964,-77.6139,62.37,85,37,9.55
143,Lavrentiya,RU,2021-10-24 04:43:00,65.5833,-171.0,23.23,83,100,10.09
144,Viedma,AR,2021-10-24 04:43:00,-40.8135,-62.9967,46.31,28,1,9.82
