City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
176,Tromso,NO,2021-10-25 00:50:38,69.6496,18.957,clear sky,33.39,80,0,1.01
177,Khairabad,IN,2021-10-25 00:50:38,27.5333,80.75,clear sky,68.58,78,0,4.68
178,Bubaque,GW,2021-10-25 00:50:38,11.2833,-15.8333,overcast clouds,82.33,76,89,9.53
179,Quiindy,PY,2021-10-25 00:50:39,-25.9667,-57.2667,clear sky,59.09,66,0,4.97
180,Suez,EG,2021-10-25 00:50:39,29.9737,32.5263,clear sky,62.49,82,0,7.23
181,Tuatapere,NZ,2021-10-25 00:50:39,-46.1333,167.6833,overcast clouds,64.42,76,100,3.33
182,Kenai,US,2021-10-25 00:50:40,60.5544,-151.2583,clear sky,48.29,72,1,3.44
183,Longyearbyen,SJ,2021-10-25 00:47:19,78.2186,15.6401,overcast clouds,19.24,79,90,9.22
184,Malanje,AO,2021-10-25 00:50:40,-9.5402,16.341,broken clouds,64.78,94,82,3.15
185,Aitape,PG,2021-10-25 00:50:40,-3.1374,142.3475,overcast clouds,86.22,63,93,4.21
186,Kilindoni,TZ,2021-10-25 00:50:41,-7.9139,39.6668,few clouds,77.79,80,14,7.67
187,Janauba,BR,2021-10-25 00:50:41,-15.8025,-43.3089,overcast clouds,74.68,83,100,3.11
188,Peniche,PT,2021-10-25 00:50:41,39.3558,-9.3811,broken clouds,61.61,92,53,6.67
189,Bathsheba,BB,2021-10-25 00:46:52,13.2167,-59.5167,broken clouds,83.01,74,75,21.85
190,Lixourion,GR,2021-10-25 00:47:03,38.2019,20.4314,overcast clouds,62.71,89,100,15.35
191,Bandarbeyla,SO,2021-10-25 00:50:42,9.4942,50.8122,clear sky,77.05,76,10,2.86
192,Caravelas,BR,2021-10-25 00:49:18,-17.7125,-39.2481,overcast clouds,77.38,87,100,8.99
193,Vanimo,PG,2021-10-25 00:50:42,-2.6741,141.3028,overcast clouds,85.33,65,100,6.64
194,Kavaratti,IN,2021-10-25 00:47:48,10.5669,72.642,overcast clouds,81.34,78,100,10.85
195,Vestmannaeyjar,IS,2021-10-25 00:50:31,63.4427,-20.2734,overcast clouds,44.62,90,100,2.26
196,Barrow,US,2021-10-25 00:46:48,71.2906,-156.7887,overcast clouds,28.42,80,90,9.22
197,Kruisfontein,ZA,2021-10-25 00:50:43,-34.0033,24.7314,clear sky,47.88,84,0,3.44
198,Olafsvik,IS,2021-10-25 00:50:43,64.8945,-23.7142,overcast clouds,42.31,89,100,20.98
199,Imeni Poliny Osipenko,RU,2021-10-25 00:50:44,52.4201,136.4853,few clouds,37.74,81,17,9.06
200,Los Llanos De Aridane,ES,2021-10-25 00:50:44,28.6585,-17.9182,overcast clouds,67.75,88,90,8.05
201,Dunedin,NZ,2021-10-25 00:50:44,-45.8742,170.5036,overcast clouds,60.94,72,100,6.76
202,Narsaq,GL,2021-10-25 00:49:20,60.9167,-46.05,clear sky,32.22,45,4,7.18
203,Kochi,IN,2021-10-25 00:50:45,9.9399,76.2602,overcast clouds,73.38,89,100,3.51
204,Seoul,KR,2021-10-25 00:50:13,37.5683,126.9778,clear sky,54.84,78,0,2.3
205,Ambunti,PG,2021-10-25 00:50:45,-4.2365,142.8448,overcast clouds,87.6,62,99,1.95
206,Petrokamenskoye,RU,2021-10-25 00:50:46,57.716,60.6484,overcast clouds,38.91,70,100,12.93
207,Afyonkarahisar,TR,2021-10-25 00:50:46,38.75,30.6667,overcast clouds,48.51,75,100,10.78
208,Fernie,CA,2021-10-25 00:47:45,49.5,-115.0687,overcast clouds,48.61,83,100,3.58
209,Denpasar,ID,2021-10-25 00:46:11,-8.65,115.2167,scattered clouds,82.06,74,40,4.61
210,Minnedosa,CA,2021-10-25 00:50:46,50.2453,-99.8436,scattered clouds,37.96,79,31,7.67
211,Pozo Colorado,PY,2021-10-25 00:50:47,-23.4923,-58.7972,clear sky,64.8,47,0,6.04
212,Tiksi,RU,2021-10-25 00:50:47,71.6872,128.8694,overcast clouds,-0.26,100,94,3.71
213,Torbay,CA,2021-10-25 00:50:48,47.6666,-52.7314,very heavy rain,54.57,87,75,28.77
214,Lattes,FR,2021-10-25 00:50:48,43.5675,3.9046,clear sky,52.99,91,0,1.01
215,Sobolevo,RU,2021-10-25 00:50:48,54.4299,31.8996,scattered clouds,28.78,90,25,4.29
216,Dickinson,US,2021-10-25 00:50:49,29.4608,-95.0513,few clouds,83.16,83,20,3.0
217,Labuhan,ID,2021-10-25 00:49:32,-6.8844,112.2051,overcast clouds,84.0,68,92,9.48
218,Sitka,US,2021-10-25 00:50:33,57.0531,-135.33,scattered clouds,49.89,57,40,0.0
219,Biltine,TD,2021-10-25 00:50:49,14.5333,20.9167,broken clouds,81.93,23,58,13.06
220,Souillac,MU,2021-10-25 00:50:50,-20.5167,57.5167,scattered clouds,74.35,78,40,11.5
221,Orange Cove,US,2021-10-25 00:50:50,36.6244,-119.3137,overcast clouds,71.11,47,100,3.91
222,Tungor,RU,2021-10-25 00:50:50,53.3808,142.9564,scattered clouds,43.68,83,29,10.65
223,Mahebourg,MU,2021-10-25 00:50:51,-20.4081,57.7,scattered clouds,74.25,78,40,11.5
224,College,US,2021-10-25 00:48:21,64.8569,-147.8028,light snow,27.21,91,90,0.0
225,Boden,SE,2021-10-25 00:50:51,65.8252,21.6886,light rain,39.2,100,100,1.5
226,Shimoda,JP,2021-10-25 00:50:27,34.6667,138.95,overcast clouds,64.51,65,100,13.8
227,Pisco,PE,2021-10-25 00:50:52,-13.7,-76.2167,clear sky,61.02,77,0,16.11
228,Port Hedland,AU,2021-10-25 00:50:52,-20.3167,118.5667,clear sky,87.85,23,0,6.91
229,Iztapa,GT,2021-10-25 00:50:52,13.9333,-90.7075,overcast clouds,82.45,94,90,0.0
230,Victoria,HK,2021-10-25 00:48:47,22.2855,114.1577,overcast clouds,71.33,70,100,5.99
231,Tasiilaq,GL,2021-10-25 00:46:49,65.6145,-37.6368,snow,30.36,85,100,47.8
232,Omagari,JP,2021-10-25 00:50:53,39.45,140.4833,few clouds,52.56,55,17,1.88
233,Aswan,EG,2021-10-25 00:50:53,24.0934,32.907,clear sky,69.1,37,0,8.05
234,Yarim,YE,2021-10-25 00:50:54,14.298,44.3779,scattered clouds,49.3,28,26,4.63
235,Vanavara,RU,2021-10-25 00:50:30,60.34,102.2797,broken clouds,33.91,79,82,12.03
236,Deputatskiy,RU,2021-10-25 00:50:54,69.3,139.9,overcast clouds,3.38,96,100,0.76
237,Tayoltita,MX,2021-10-25 00:50:54,24.0833,-105.9333,clear sky,66.69,80,0,3.42
